MatchDateSK,Team 1,Team 2,Winner,Margin,Ground,Match Date,MatchID,IsSemiFinal,IsFinal,Season_Year
20111216,Syd Sixers,Heat,Syd Sixers,7 wickets,Sydney,16-Dec-11,524915,0,0,2011
20111217,Melb Stars,Syd Thunder,Syd Thunder,6 wickets,Melbourne,17-Dec-11,524916,0,0,2011
20111218,Scorchers,Hurricanes,Hurricanes,31 runs,Perth,18-Dec-11,524918,0,0,2011
20111218,Strikers,Melb Reneg,Strikers,67 runs,Adelaide,18-Dec-11,524917,0,0,2011
20111220,Heat,Melb Stars,Melb Stars,8 runs,Brisbane,20-Dec-11,524919,0,0,2011
20111221,Hurricanes,Syd Sixers,Hurricanes,42 runs,Hobart,21-Dec-11,524920,0,0,2011
20111222,Melb Reneg,Scorchers,Scorchers,8 wickets,Melbourne (Docklands),22-Dec-11,524921,0,0,2011
20111223,Syd Thunder,Strikers,Syd Thunder,6 wickets,Sydney,23-Dec-11,524922,0,0,2011
20111227,Syd Sixers,Melb Stars,Syd Sixers,2 runs,Sydney,27-Dec-11,524923,0,0,2011
20111228,Strikers,Hurricanes,Hurricanes,14 runs,Adelaide,28-Dec-11,524924,0,0,2011
20111229,Scorchers,Heat,Scorchers,10 runs,Perth,29-Dec-11,524925,0,0,2011
20111230,Syd Thunder,Melb Reneg,Melb Reneg,6 runs,Sydney,30-Dec-11,524926,0,0,2011
20120101,Hurricanes,Syd Thunder,Hurricanes,5 wickets,Hobart,1-Jan-12,524927,0,0,2011
20120102,Melb Reneg,Syd Sixers,Melb Reneg,8 wickets,Melbourne (Docklands),2-Jan-12,524928,0,0,2011
20120103,Heat,Strikers,Strikers,31 runs,Brisbane,3-Jan-12,999999,0,0,2011
20120104,Melb Stars,Scorchers,Scorchers,8 runs,Melbourne,4-Jan-12,524930,0,0,2011
20120106,Heat,Hurricanes,Heat,3 runs,Brisbane,6-Jan-12,999999,0,0,2011
20120107,Melb Stars,Melb Reneg,Melb Stars,11 runs,Melbourne,7-Jan-12,999999,0,0,2011
20120108,Syd Thunder,Syd Sixers,Syd Sixers,17 runs,Sydney,8-Jan-12,524933,0,0,2011
20120108,Scorchers,Strikers,Scorchers,42 runs,Perth,8-Jan-12,524934,0,0,2011
20120109,Hurricanes,Melb Stars,Melb Stars,19 runs,Hobart,9-Jan-12,524935,0,0,2011
20120110,Strikers,Syd Sixers,Syd Sixers,64 runs,Adelaide,10-Jan-12,524936,0,0,2011
20120111,Syd Thunder,Scorchers,Scorchers,9 wickets,Sydney,11-Jan-12,999999,0,0,2011
20120112,Melb Reneg,Heat,Heat,12 runs,Melbourne (Docklands),12-Jan-12,524938,0,0,2011
20120117,Heat,Syd Thunder,Heat,91 runs,Brisbane,17-Jan-12,524939,0,0,2011
20120118,Syd Sixers,Scorchers,Syd Sixers,1 run,Sydney,18-Jan-12,524941,0,0,2011
20120118,Hurricanes,Melb Reneg,Hurricanes,7 wickets,Hobart,18-Jan-12,524940,0,0,2011
20120119,Melb Stars,Strikers,Melb Stars,6 wickets,Melbourne,19-Jan-12,524942,0,0,2011
20120121,Scorchers,Melb Stars,Scorchers,11 runs,Perth,21-Jan-12,524943,1,0,2011
20120122,Hurricanes,Syd Sixers,Syd Sixers,7 runs,Hobart,22-Jan-12,524944,1,0,2011
20120128,Scorchers,Syd Sixers,Syd Sixers,7 wickets,Perth,28-Jan-12,524945,0,1,2011
20121207,Melb Reneg,Melb Stars,Melb Reneg,8 wickets,Melbourne (Docklands),7-Dec-12,571232,0,0,2012
20121208,Syd Sixers,Syd Thunder,Syd Sixers,7 wickets,Sydney,8-Dec-12,571233,0,0,2012
20121209,Heat,Hurricanes,Hurricanes,8 wickets,Brisbane,9-Dec-12,571234,0,0,2012
20121209,Scorchers,Strikers,Strikers,6 wickets,Perth,9-Dec-12,571235,0,0,2012
20121212,Scorchers,Melb Stars,Melb Stars,24 runs,Perth,12-Dec-12,571236,0,0,2012
20121213,Strikers,Heat,Heat,3 wickets,Adelaide,13-Dec-12,571237,0,0,2012
20121214,Syd Thunder,Melb Reneg,Melb Reneg,5 wickets,Sydney,14-Dec-12,571238,0,0,2012
