MatchDateSK,Team 1,Team 2,Winner,Margin,Ground,Match Date,MatchID,IsSemiFinal,IsFinal,Season_Year,Man of the Match
20161220,Sydney Thunders,Sydney Sixers,Sydney Sixers,9 wickets,Sydney,20-Dec-16,1023581,0,0,2016,M Henriques
20161221,Adelaide Strikers,Brisbane Heat,Brisbane Heat,10 runs,Adelaide,21-Dec-16,1023583,0,0,2016,B McCullum
20161222,Melbourne Renegades,Sydney Thunders,Melbourne Renegades,49 runs,Melbourne (Docklands),22-Dec-16,1023585,0,0,2016,A Finch
20161223,Perth Scorchers,Adelaide Strikers,Perth Scorchers,48 runs,Perth,23-Dec-16,1023589,0,0,2016,A Turner
20161223,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,60 runs,Sydney,23-Dec-16,1023587,0,0,2016,D Short
20161226,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,7 wickets,Hobart,26-Dec-16,1023591,0,0,2016,R Quiney
20161227,Sydney Sixers,Perth Scorchers,Sydney Sixers,6 wickets,Sydney,27-Dec-16,1023593,0,0,2016,J Botha
20161228,Sydney Thunders,Brisbane Heat,Brisbane Heat,3 wickets,Sydney,28-Dec-16,1023595,0,0,2016,C Lynn
20161229,Melbourne Renegades,Perth Scorchers,Perth Scorchers,4 wickets,Melbourne (Docklands),29-Dec-16,1023597,0,0,2016,M Klinger
20161230,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,7 wickets,Brisbane,30-Dec-16,1023599,0,0,2016,C Lynn
20161231,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,48 runs,Adelaide,31-Dec-16,1023601,0,0,2016,S Abbott
20170101,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,7 runs,Melbourne,01-Jan-17,1023603,0,0,2016,B Hogg
20170101,Perth Scorchers,Sydney Thunders,Perth Scorchers,50 runs,Perth,01-Jan-17,1023605,0,0,2016,M Marsh
20170102,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,8 wickets,Hobart,02-Jan-17,1023607,0,0,2016,D Christian
20170103,Brisbane Heat,Sydney Sixers,Sydney Sixers,3 wickets,Brisbane,03-Jan-17,1023609,0,0,2016,D Hughes
20170104,Sydney Thunders,Melbourne Stars,Sydney Thunders,6 wickets,Sydney,04-Jan-17,1023611,0,0,2016,E Morgan
20170105,Perth Scorchers,Brisbane Heat,Brisbane Heat,9 wickets,Perth,05-Jan-17,1023613,0,0,2016,C Lynn
20170106,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,5 wickets,Adelaide,06-Jan-17,1023615,0,0,2016,B Dunk
20170107,Melbourne Renegades,Melbourne Stars,Melbourne Stars,46 runs,Melbourne (Docklands),07-Jan-17,1023617,0,0,2016,A Zampa
20170108,Hobart Hurricanes,Sydney Thunders,Sydney Thunders,6 wickets,Hobart,08-Jan-17,1023619,0,0,2016,S Watson
20170109,Sydney Sixers,Melbourne Renegades,Sydney Sixers,6 wickets,Sydney,09-Jan-17,1023621,0,0,2016,B Haddin
20170110,Melbourne Stars,Adelaide Strikers,Melbourne Stars,2 wickets,Melbourne,10-Jan-17,1023623,0,0,2016,B Hilfenhaus
20170111,Brisbane Heat,Perth Scorchers,Perth Scorchers,27 runs,Brisbane,11-Jan-17,1023625,0,0,2016,M Klinger
20170112,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,2 wickets,Melbourne (Docklands),12-Jan-17,1023627,0,0,2016,B McDermott
20170114,Sydney Sixers,Sydney Thunders,Sydney Thunders,8 wickets,Sydney,14-Jan-17,1023629,0,0,2016,F Ahmed
20170114,Perth Scorchers,Melbourne Stars,Melbourne Stars,7 wickets,Perth,14-Jan-17,1023631,0,0,2016,M Beer
20170116,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,6 runs,Adelaide,16-Jan-17,1023633,0,0,2016,M Harris
20170117,Melbourne Stars,Brisbane Heat,Brisbane Heat,7 wickets,Melbourne,17-Jan-17,1023635,0,0,2016,M Swepson
20170118,Sydney Thunders,Adelaide Strikers,Adelaide Strikers,77 runs,Sydney,18-Jan-17,1023637,0,0,2016,I Sodhi
20170120,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,1 run,Brisbane,20-Jan-17,1023639,0,0,2016,A Finch
20170121,Melbourne Stars,Sydney Sixers,Sydney Sixers,3 wickets,Melbourne,21-Jan-17,1023643,0,0,2016,S Abbott
20170121,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,7 wickets,Hobart,21-Jan-17,1023641,0,0,2016,S Marsh
20170124,Perth Scorchers,Melbourne Stars,Perth Scorchers,7 wickets,Perth,24-Jan-17,1023645,1,0,2016,M Johnson
20170125,Brisbane Heat,Sydney Sixers,tied,,Brisbane,25-Jan-17,1023647,1,0,2016,M Henriques
20170128,Perth Scorchers,Sydney Sixers,Perth Scorchers,9 wickets,Perth,28-Jan-17,1023649,0,1,2016,J Richardson
