Team,Player,is_bowler,is_batsman,bowling_hand,batting_hand,bowler_type
Adelaide Strikers,J Dean,0,1,R,R,S
Adelaide Strikers,C Simmons,0,1,L,L,P
Adelaide Strikers,K Smith,1,0,R,L,S
Adelaide Strikers,J Weatherald,0,1,R,L,S
Adelaide Strikers,B Hodge,1,1,R,R,S
Adelaide Strikers,T Head,1,1,R,L,S
Adelaide Strikers,J Lehmann,1,1,L,L,S
Adelaide Strikers,M Neser,1,1,R,R,P
Adelaide Strikers,K Pollard,1,1,R,R,P
Adelaide Strikers,A Carey,0,1,N,L,N
Adelaide Strikers,B Dunk,0,1,N,L,N
Adelaide Strikers,T Ludeman,0,1,N,R,N
Adelaide Strikers,W Agar,1,0,R,R,P
Adelaide Strikers,J Holland,1,0,L,R,S
Adelaide Strikers,C Jordan,1,0,R,R,P
Adelaide Strikers,B Laughlin,1,0,R,R,P
Adelaide Strikers,A Rashid,1,0,R,R,S
Adelaide Strikers,K Richardson,1,0,R,R,P
Adelaide Strikers,B Stanlake,1,0,R,L,P
Brisbane Heat,J Burns,0,1,R,R,P
Brisbane Heat,A Doolan,0,1,N,R,N
Brisbane Heat,S Heazlett,0,1,L,L,S
Brisbane Heat,C Lynn,0,1,L,R,S
Brisbane Heat,N Reardon,0,1,R,L,P
Brisbane Heat,A Ross,0,1,R,R,S
Brisbane Heat,J Floros,1,1,R,L,S
Brisbane Heat,M Labuschagne,1,1,R,R,S
Brisbane Heat,B Cutting,1,1,R,R,P
Brisbane Heat,J Wildermuth,1,1,R,R,P
Brisbane Heat,B McCullum,0,1,N,R,N
Brisbane Heat,J Peirson,0,1,N,R,N
Brisbane Heat,S Badree,1,0,R,R,S
Brisbane Heat,A Fekete,1,0,R,R,P
Brisbane Heat,L Feldman,1,0,R,R,P
Brisbane Heat,J Lalor,1,0,L,R,P
Brisbane Heat,M Steketee,1,0,R,R,P
Brisbane Heat,M Swepson,1,0,R,R,S
Brisbane Heat,T Mills,1,0,L,R,P
Hobart Hurricanes,G Bailey,0,1,R,R,P
Hobart Hurricanes,J Bazley,0,1,R,R,P
Hobart Hurricanes,D Michael,0,1,R,L,P
Hobart Hurricanes,K Sangakkara,0,1,R,L,S
Hobart Hurricanes,D Short,1,1,L,L,S
Hobart Hurricanes,B Webster,0,1,R,R,S
Hobart Hurricanes,J Wells,0,1,R,R,P
Hobart Hurricanes,C Rose,1,1,L,R,S
Hobart Hurricanes,D Christian,1,1,R,R,P
Hobart Hurricanes,H Kingston,1,1,R,R,P
Hobart Hurricanes,S Milenko,1,1,R,R,P
Hobart Hurricanes,S Rainbird,1,1,L,R,P
Hobart Hurricanes,B McDermott,0,1,R,R,P
Hobart Hurricanes,T Paine,0,1,R,R,P
Hobart Hurricanes,C Boyce,1,0,R,R,S
Hobart Hurricanes,S Broad,1,0,R,L,P
Hobart Hurricanes,J Reed,1,0,R,L,P
Hobart Hurricanes,S Tait,1,0,R,R,P
Melbourne Renegades,A Finch,0,1,L,R,S
Melbourne Renegades,T Beaton,0,1,R,R,P
Melbourne Renegades,T Cooper,0,1,R,R,S
Melbourne Renegades,C Ferguson,0,1,R,R,P
Melbourne Renegades,M Harris,0,1,N,L,N
Melbourne Renegades,C White,0,1,R,R,S
Melbourne Renegades,D Bravo,1,1,R,R,P
Melbourne Renegades,M Short,1,1,R,R,S
Melbourne Renegades,T Perera,1,1,R,L,P
Melbourne Renegades,P Nevill,0,1,N,R,N
Melbourne Renegades,M Wade,0,1,N,L,N
Melbourne Renegades,A Harriott,0,1,N,R,N
Melbourne Renegades,X Doherty,1,0,L,L,S
Melbourne Renegades,B Hogg,1,0,L,L,S
Melbourne Renegades,S Narine,1,1,R,L,S
Melbourne Renegades,J Pattinson,1,0,R,L,P
Melbourne Renegades,N Rimmington,1,0,R,R,P
Melbourne Renegades,P Siddle,1,0,R,R,P
Melbourne Renegades,C Tremain,1,0,R,R,P
Melbourne Renegades,N Winter,1,0,L,L,P
Melbourne Stars,P Handscomb,0,1,N,R,N
Melbourne Stars,K Pieterson,0,1,R,R,S
Melbourne Stars,R Quiney,0,1,R,L,P
Melbourne Stars,D Hussey,0,1,R,R,S
Melbourne Stars,E Gulbis,1,1,R,R,P
Melbourne Stars,G Maxwell,1,1,R,R,S
Melbourne Stars,M Stoinis,1,1,R,R,P
Melbourne Stars,J Faulkner,1,1,L,R,P
Melbourne Stars,J Hastings,1,1,R,R,P
Melbourne Stars,L Wright,1,1,R,R,P
Melbourne Stars,S Gotch,0,1,R,R,P
Melbourne Stars,S Harper,0,1,N,R,N
Melbourne Stars,T Triffitt,0,1,N,R,N
Melbourne Stars,M Beer,1,0,L,R,S
Melbourne Stars,S Boland,1,0,R,R,P
Melbourne Stars,J Coleman,1,0,L,R,P
Melbourne Stars,B Hilfenhaus,1,0,R,R,P
Melbourne Stars,D  Worrall,1,0,R,R,P
Melbourne Stars,A Zampa,1,0,R,R,S
Perth Scorchers,I Bell,0,1,R,R,P
Perth Scorchers,M Klinger,0,1,N,R,N
Perth Scorchers,S Marsh,0,1,L,L,S
Perth Scorchers,A Voges,0,1,L,R,S
Perth Scorchers,H Cartwright,1,1,R,R,P
Perth Scorchers,M Marsh,1,1,R,R,P
Perth Scorchers,A Turner,0,1,R,R,S
Perth Scorchers,A Agar,1,1,L,L,S
Perth Scorchers,J Richardson,1,1,R,R,P
Perth Scorchers,C Valente,1,1,R,R,P
Perth Scorchers,D Willey,1,1,L,L,P
Perth Scorchers,C Bancroft,0,1,N,R,N
Perth Scorchers,S Whiteman,0,1,N,L,N
Perth Scorchers,N Coulter-Nile,1,0,R,R,P
Perth Scorchers,M Johnson,1,0,L,L,P
Perth Scorchers,J Muirhead,1,0,R,R,S
Perth Scorchers,J Paris,1,0,L,L,P
Perth Scorchers,A Tye,1,0,R,R,P
Perth Scorchers,J Behrendorff,1,0,L,R,P
Sydney Thunders,A Blizzard,0,1,L,L,P
Sydney Thunders,R Gibson,0,1,R,R,P
Sydney Thunders,U Khawaja,0,1,R,L,S
Sydney Thunders,E Morgan,0,1,R,L,P
Sydney Thunders,K Patterson,0,1,R,L,S
Sydney Thunders,B Rohrer,0,1,N,L,N
Sydney Thunders,S Watson,1,1,R,R,P
Sydney Thunders,C Green,1,1,R,R,S
Sydney Thunders,A Russell,1,1,R,R,P
Sydney Thunders,J Doran,0,1,L,L,P
Sydney Thunders,J Lenton,0,1,N,L,N
Sydney Thunders,P Cummins,1,0,R,R,P
Sydney Thunders,F Ahmed,1,0,R,R,S
Sydney Thunders,A McDermott,1,0,R,R,P
Sydney Thunders,C McKay,1,0,R,R,P
Sydney Thunders,G Sandhu,1,0,R,L,P
Sydney Thunders,L Hatcher,1,0,R,R,P
Sydney Sixers,D Hughes,0,1,R,L,P
Sydney Sixers,M Lumb,0,1,R,L,P
Sydney Sixers,N Maddinson,0,1,L,L,S
Sydney Sixers,J Roy,0,1,N,R,N
Sydney Sixers,J Silk,0,1,N,R,N
Sydney Sixers,M Henriques,1,1,R,R,P
Sydney Sixers,C Munro,1,1,R,L,P
Sydney Sixers,J Botha,1,1,R,R,S
Sydney Sixers,S O'Keefe,1,1,L,R,S
Sydney Sixers,S Billings,0,1,N,R,N
Sydney Sixers,B Haddin,0,1,N,R,N
Sydney Sixers,S Abbott,1,0,R,R,P
Sydney Sixers,J Bird,1,0,R,R,P
Sydney Sixers,D Bollinger,1,0,L,L,P
Sydney Sixers,B Dwarshuis,1,0,L,L,P
Sydney Sixers,J Hazlewood,1,0,R,L,P
Sydney Sixers,N Lyon,1,0,R,R,S
Sydney Sixers,J Mennie,1,0,R,R,P
Sydney Sixers,M Starc,1,0,L,L,P
